total_week,country_code,total_books,after,treated,deaths,cases,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,close_public_transport,stay_at_home_requirements,nacionaltravel,internationaltravel,after_treated
30,NOR,136.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,PER,5.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,PHL,13.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,POL,13.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,PRT,237.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,ROU,53.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,RUS,2.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,SGP,18.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,SVK,2.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,SWE,496.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,TUR,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,URY,267.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
30,USA,4419.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,ARG,38.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,AUS,407.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,AUT,78.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,BEL,199.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,BGR,8.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,BRA,144.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,CAN,289.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,CHE,20.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,CHL,96.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,CHN,8.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,COL,8.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,DEU,273.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,DNK,43.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,ESP,256.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,EST,7.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,FIN,527.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,FRA,192.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,GBR,1574.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,GRC,62.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,HKG,2.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,HUN,16.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,IDN,16.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,IND,239.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,IRL,24.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,ISR,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,ITA,736.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,JPN,14.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,LVA,13.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,MEX,589.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,NLD,241.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,NOR,48.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,PER,5.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,PHL,10.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,POL,10.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,PRT,115.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,ROU,63.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,RUS,13.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,SGP,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,SVK,10.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,SWE,648.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,TUR,22.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,URY,112.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
31,USA,3776.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,ARG,36.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,AUS,463.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,AUT,87.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,BEL,214.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,BGR,10.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,BRA,170.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,CAN,253.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,CHE,27.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,CHL,91.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,CHN,8.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,COL,97.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,DEU,371.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,DNK,23.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,ESP,180.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,EST,10.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
32,FIN,566.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
